date,pageview,month-day,year,month_name,month_num,day,z_score
2024-03-29,511478,03-29,2024,March,3,29,0.05917084512048543
2025-03-29,187818,03-29,2025,March,3,29,-0.48536309569303104
2023-03-30,454209,03-30,2023,March,3,30,-0.11936569330100785
2024-03-30,391614,03-30,2024,March,3,30,-0.2790600488165441
2025-03-30,206048,03-30,2025,March,3,30,-0.38832739696490637
2023-03-31,544430,03-31,2023,March,3,31,0.22324933621133647
2024-03-31,402176,03-31,2024,March,3,31,-0.24925631540398566
2025-03-31,249737,03-31,2025,March,3,31,-0.15577706006238082
2023-04-01,347907,04-01,2023,April,4,1,-0.5230484596993101
2024-04-01,501664,04-01,2024,April,4,1,0.03147780973790176
2025-04-01,235605,04-01,2025,April,4,1,-0.23099968729364018
2023-04-02,355781,04-02,2023,April,4,2,-0.49314687644951016
2024-04-02,563706,04-02,2024,April,4,2,0.20654723109578393
2025-04-02,248916,04-02,2025,April,4,2,-0.1601471263627533
2023-04-03,421384,04-03,2023,April,4,3,-0.24401891531963657
2024-04-03,614574,04-03,2024,April,4,3,0.3500859842893101
2025-04-03,266131,04-03,2025,April,4,3,-0.06851412835920602
2023-04-04,534541,04-04,2023,April,4,4,0.18569577299603657
2024-04-04,583158,04-04,2024,April,4,4,0.26143666703036894
2025-04-04,247162,04-04,2025,April,4,4,-0.16948341904345163
2023-04-05,444433,04-05,2023,April,4,5,-0.1564901380368529
2024-04-05,492534,04-05,2024,April,4,5,0.005714877901444782
2025-04-05,206411,04-05,2025,April,4,5,-0.3863951995629146
2023-04-06,284929,04-06,2023,April,4,6,-0.7622079605763611
2024-04-06,462238,04-06,2024,April,4,6,-0.07977403589015443
2025-04-06,220696,04-06,2025,April,4,6,-0.3103581750795761
2023-04-07,242046,04-07,2023,April,4,7,-0.9250565247751381
2024-04-07,623468,04-07,2024,April,4,7,0.3751829739665771
2025-04-07,289521,04-07,2025,April,4,7,0.0559875169096276
2023-04-08,195212,04-08,2023,April,4,8,-1.1029090457201636
2024-04-08,728570,04-08,2024,April,4,8,0.6717586214885161
2025-04-08,299623,04-08,2025,April,4,8,0.10975902697827905
2023-04-09,222492,04-09,2023,April,4,9,-0.9993130092641638
2024-04-09,630904,04-09,2024,April,4,9,0.3961657955586795
2025-04-09,300799,04-09,2025,April,4,9,0.11601870781778945
2023-04-10,217015,04-10,2023,April,4,10,-1.0201119642373864
2024-04-10,569342,04-10,2024,April,4,10,0.22245083282965813
2025-04-10,285588,04-10,2025,April,4,10,0.03505271695912215
2023-04-11,279218,04-11,2023,April,4,11,-0.7838955325778353
2024-04-11,564194,04-11,2024,April,4,11,0.20792426403512576
2025-04-11,242617,04-11,2025,April,4,11,-0.19367580800227374
2023-04-12,282939,04-12,2023,April,4,12,-0.7697650028251676
2024-04-12,544100,04-12,2024,April,4,12,0.15122323968443938
2025-04-12,214891,04-12,2025,April,4,12,-0.3412573649378736
2023-04-13,262684,04-13,2023,April,4,13,-0.8466835408902803
2024-04-13,456418,04-13,2024,April,4,13,-0.09619684676509195
2025-04-13,218975,04-13,2025,April,4,13,-0.31951881345100247
2023-04-14,234480,04-14,2023,April,4,14,-0.9537884753552736
2024-04-14,473352,04-14,2024,April,4,14,-0.048412675054406024
2025-04-14,245115,04-14,2025,April,4,14,-0.18037930907617086
2023-04-15,184868,04-15,2023,April,4,15,-1.142190475379286
2024-04-15,644440,04-15,2024,April,4,15,0.4343615288925548
